wins,league,division_id,name,gameID,name_full,code,league_id,teamID,type,losses,file_code,abbrev,name_brief
0,AL,200,Texas,2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,Texas Rangers,tex,103,140,home,1,tex,TEX,Rangers
1,AL,201,Boston,2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,Boston Red Sox,bos,103,111,home,0,bos,BOS,Red Sox
2,AL,202,Minnesota,2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,Minnesota Twins,min,103,142,away,1,min,MIN,Twins
0,AL,201,Tampa Bay,2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,Tampa Bay Rays,tba,103,139,home,2,tb,TB,Rays
2,AL,202,Minnesota,2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,Minnesota Twins,min,103,142,away,1,min,MIN,Twins
0,NL,205,Chi Cubs,2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,Chicago Cubs,chn,104,112,home,1,chc,CHC,Cubs
2,AL,200,Oakland,2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,Oakland Athletics,oak,103,133,away,1,oak,OAK,Athletics
0,NL,204,Philadelphia,2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,Philadelphia Phillies,phi,104,143,away,2,phi,PHI,Phillies
2,AL,201,NY Yankees,2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,New York Yankees,nya,103,147,home,0,nyy,NYY,Yankees
0,NL,203,San Diego,2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,San Diego Padres,sdn,104,135,away,1,sd,SD,Padres
2,AL,200,Seattle,2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,Seattle Mariners,sea,103,136,home,1,sea,SEA,Mariners
1,NL,203,Arizona,2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,Arizona Diamondbacks,ari,104,109,home,1,ari,ARI,D-backs
1,NL,203,San Francisco,2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,San Francisco Giants,sfn,104,137,away,1,sf,SF,Giants
1,NL,203,San Francisco,2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,San Francisco Giants,sfn,104,137,away,1,sf,SF,Giants
0,NL,205,Milwaukee,2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,Milwaukee Brewers,mil,104,158,home,0,mil,MIL,Brewers
0,NL,205,Pittsburgh,2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,Pittsburgh Pirates,pit,104,134,home,2,pit,PIT,Pirates
2,AL,201,Toronto,2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,Toronto Blue Jays,tor,103,141,away,0,tor,TOR,Blue Jays
1,AL,200,LA Angels,2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,Los Angeles Angels,ana,103,108,away,0,ana,LAA,Angels
3,AL,200,Oakland,2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,Oakland Athletics,oak,103,133,home,2,oak,OAK,Athletics
1,NL,203,Arizona,2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,Arizona Diamondbacks,ari,104,109,away,2,ari,ARI,D-backs
1,NL,203,Colorado,2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,Colorado Rockies,col,104,115,home,0,col,COL,Rockies
2,NL,205,Houston,2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,Houston Astros,hou,104,117,home,1,hou,HOU,Astros
1,NL,204,Atlanta,2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,Atlanta Braves,atl,104,144,away,2,atl,ATL,Braves
1,AL,201,Baltimore,2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,Baltimore Orioles,bal,103,110,away,1,bal,BAL,Orioles
0,AL,201,Tampa Bay,2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,Tampa Bay Rays,tba,103,139,home,3,tb,TB,Rays
2,AL,201,Boston,2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,Boston Red Sox,bos,103,111,away,0,bos,BOS,Red Sox
2,AL,202,Minnesota,2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,Minnesota Twins,min,103,142,home,2,min,MIN,Twins
2,NL,205,Cincinnati,2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,Cincinnati Reds,cin,104,113,home,0,cin,CIN,Reds
0,AL,202,Cleveland,2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,Cleveland Indians,cle,103,114,away,2,cle,CLE,Indians
1,NL,203,LA Dodgers,2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,Los Angeles Dodgers,lan,104,119,away,0,la,LAD,Dodgers
0,AL,202,Chi White Sox,2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,Chicago White Sox,cha,103,145,home,1,cws,CWS,White Sox
0,NL,205,St. Louis,2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,St. Louis Cardinals,sln,104,138,home,1,stl,STL,Cardinals
1,NL,204,Miami,2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,Miami Marlins,mia,104,146,away,0,mia,MIA,Marlins
1,NL,203,San Francisco,2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,San Francisco Giants,sfn,104,137,home,2,sf,SF,Giants
1,NL,205,Milwaukee,2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,Milwaukee Brewers,mil,104,158,away,0,mil,MIL,Brewers
1,NL,204,Philadelphia,2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,Philadelphia Phillies,phi,104,143,home,2,phi,PHI,Phillies
2,AL,201,NY Yankees,2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,New York Yankees,nya,103,147,away,1,nyy,NYY,Yankees
0,NL,205,Chi Cubs,2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,Chicago Cubs,chn,104,112,home,2,chc,CHC,Cubs
3,AL,200,Oakland,2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,Oakland Athletics,oak,103,133,away,2,oak,OAK,Athletics
1,AL,201,Baltimore,2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,Baltimore Orioles,bal,103,110,home,1,bal,BAL,Orioles
1,NL,205,Pittsburgh,2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,Pittsburgh Pirates,pit,104,134,away,2,pit,PIT,Pirates
0,NL,203,San Diego,2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,San Diego Padres,sdn,104,135,home,2,sd,SD,Padres
3,AL,200,Seattle,2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,Seattle Mariners,sea,103,136,away,1,sea,SEA,Mariners
2,AL,202,Kansas City,2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,Kansas City Royals,kca,103,118,home,0,kc,KC,Royals
0,AL,200,Texas,2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,Texas Rangers,tex,103,140,away,2,tex,TEX,Rangers
3,AL,202,Detroit,2012/03/05/gid_2012_03_05_tormlb_detmlb_1/,Detroit Tigers,det,103,116,home,0,det,DET,Tigers
2,AL,201,Toronto,2012/03/05/gid_2012_03_05_tormlb_detmlb_1/,Toronto Blue Jays,tor,103,141,away,1,tor,TOR,Blue Jays
1,NL,204,Washington,2012/03/05/gid_2012_03_05_wasmlb_nynmlb_1/,Washington Nationals,was,104,120,away,2,was,WSH,Nationals
0,NL,204,NY Mets,2012/03/05/gid_2012_03_05_wasmlb_nynmlb_1/,New York Mets,nyn,104,121,home,1,nym,NYM,Mets
1,AL,201,Baltimore,2012/03/06/gid_2012_03_06_balmlb_bosmlb_1/,Baltimore Orioles,bal,103,110,away,2,bal,BAL,Orioles
3,AL,201,Boston,2012/03/06/gid_2012_03_06_balmlb_bosmlb_1/,Boston Red Sox,bos,103,111,home,0,bos,BOS,Red Sox
2,AL,200,LA Angels,2012/03/06/gid_2012_03_06_chamlb_anamlb_1/,Los Angeles Angels,ana,103,108,home,0,ana,LAA,Angels
0,AL,202,Chi White Sox,2012/03/06/gid_2012_03_06_chamlb_anamlb_1/,Chicago White Sox,cha,103,145,away,2,cws,CWS,White Sox
