game_time_et,type,away_team_id,stadiumID,gameDate,gameID,local_gamE_time,gameday_sw,home_team_id,game_pk
01:05 PM,S,116,2520,2012/03/06,2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,13:05,Y,146,332140
03:05 PM,S,118,3834,2012/03/06,2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,13:05,Y,114,332141
01:05 PM,S,142,2534,2012/03/06,2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,13:05,Y,139,332142
01:05 PM,S,147,2526,2012/03/06,2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,13:05,Y,134,332143
01:05 PM,S,121,2514,2012/03/06,2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,13:05,Y,117,332144
03:05 PM,S,133,2518,2012/03/06,2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,13:05,Y,158,332145
01:05 PM,S,143,2536,2012/03/06,2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,13:05,Y,141,332146
03:05 PM,S,135,2603,2012/03/06,2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,13:05,E,118,332147
03:05 PM,S,137,3809,2012/03/06,2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,13:05,Y,119,332148
01:10 PM,S,138,2856,2012/03/06,2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,13:10,Y,121,332149
03:10 PM,S,140,4249,2012/03/06,2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,13:10,Y,109,332150
07:10 PM,E,236,4169,2012/03/06,2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,19:10,N,146,335535
01:05 PM,S,120,2504,2012/03/06,2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,13:05,Y,144,332151
01:05 PM,S,144,2511,2012/03/07,2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,13:05,Y,116,332152
01:05 PM,S,111,2536,2012/03/07,2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,13:05,Y,141,332153
03:05 PM,S,112,2603,2012/03/07,2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,13:05,E,118,332154
03:10 PM,S,114,4249,2012/03/07,2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,13:10,Y,109,332155
03:05 PM,S,115,2532,2012/03/07,2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,13:05,Y,137,332156
07:10 PM,E,4468,4169,2012/03/07,2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,19:10,N,146,335536
01:05 PM,S,117,2700,2012/03/07,2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,13:05,Y,143,332157
03:05 PM,S,119,2524,2012/03/07,2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,13:05,Y,133,332158
03:05 PM,S,158,3809,2012/03/07,2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,13:05,Y,145,332159
01:05 PM,S,142,2508,2012/03/07,2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,13:05,Y,110,332160
01:05 PM,S,121,2520,2012/03/07,2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,13:05,Y,146,332161
03:05 PM,S,135,3834,2012/03/07,2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,13:05,Y,113,332162
03:05 PM,S,136,2500,2012/03/07,2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,13:05,Y,108,332163
01:05 PM,S,138,2513,2012/03/07,2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,13:05,Y,120,332164
01:05 PM,S,139,2523,2012/03/07,2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,13:05,Y,147,332165
03:05 PM,S,140,2530,2012/03/07,2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,13:05,E,135,332166
01:05 PM,S,141,2526,2012/03/07,2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,13:05,Y,134,332167
03:05 PM,S,108,3834,2012/03/08,2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,13:05,Y,114,332168
01:05 PM,S,144,2508,2012/03/08,2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,13:05,Y,110,332169
01:05 PM,S,111,2520,2012/03/08,2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,13:05,Y,138,332170
03:05 PM,S,145,2603,2012/03/08,2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,13:05,E,140,332171
03:05 PM,S,113,2518,2012/03/08,2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,13:05,Y,158,332172
01:05 PM,S,116,2534,2012/03/08,2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,13:05,Y,139,332173
01:05 PM,S,117,2513,2012/03/08,2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,13:05,Y,120,332174
03:10 PM,S,118,4249,2012/03/08,2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,13:10,Y,115,332175
01:10 PM,S,146,2856,2012/03/08,2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,13:10,Y,121,332176
01:05 PM,S,147,2536,2012/03/08,2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,13:05,Y,141,332177
03:05 PM,S,133,3809,2012/03/08,2012/03/08/gid_2012_03_08_oakmlb_lanmlb_1/,13:05,Y,119,332178
01:05 PM,S,134,2700,2012/03/08,2012/03/08/gid_2012_03_08_pitmlb_phimlb_1/,13:05,Y,143,332179
03:05 PM,S,136,2507,2012/03/08,2012/03/08/gid_2012_03_08_seamlb_chnmlb_1/,13:05,Y,112,332180
03:05 PM,S,137,2530,2012/03/08,2012/03/08/gid_2012_03_08_sfnmlb_sdnmlb_1/,13:05,E,135,332181
01:05 PM,S,139,2519,2012/03/08,2012/03/08/gid_2012_03_08_tbamlb_minmlb_1/,13:05,Y,142,332182
03:05 PM,S,109,2530,2012/03/09,2012/03/09/gid_2012_03_09_arimlb_seamlb_1/,13:05,E,136,332184
01:05 PM,S,144,2523,2012/03/09,2012/03/09/gid_2012_03_09_atlmlb_nyamlb_1/,13:05,Y,147,332185
01:05 PM,S,110,2534,2012/03/09,2012/03/09/gid_2012_03_09_balmlb_tbamlb_1/,13:05,Y,139,332186
03:05 PM,S,112,3809,2012/03/09,2012/03/09/gid_2012_03_09_chnmlb_chamlb_1/,13:05,Y,145,332187
03:05 PM,S,113,2532,2012/03/09,2012/03/09/gid_2012_03_09_cinmlb_sfnmlb_1/,13:05,Y,137,332188
03:05 PM,S,114,2518,2012/03/09,2012/03/09/gid_2012_03_09_clemlb_milmlb_1/,13:05,Y,158,332189
03:05 PM,S,118,3834,2012/03/09,2012/03/09/gid_2012_03_09_kcamlb_cinmlb_1/,13:05,Y,113,332190
03:05 PM,S,119,2603,2012/03/09,2012/03/09/gid_2012_03_09_lanmlb_texmlb_1/,13:05,E,140,332191
