home_team_errors,note,home_team_hits,game_id,away_team_hits,away_team_runs,home_team_runs,away_team_errors
0,,5,2014/03/03/gid_2014_03_03_chnmlb_milmlb_1/,11,4,2,0
0,,9,2014/03/03/gid_2014_03_03_clemlb_texmlb_1/,11,6,5,1
1,,9,2014/03/03/gid_2014_03_03_colmlb_arimlb_1/,3,0,5,2
0,,11,2014/03/03/gid_2014_03_03_colmlb_seamlb_1/,8,1,8,2
1,,4,2014/03/03/gid_2014_03_03_houmlb_miamlb_1/,7,4,0,1
0,,12,2014/03/03/gid_2014_03_03_kcamlb_chamlb_1/,12,7,9,1
0,,8,2014/03/03/gid_2014_03_03_lanmlb_oakmlb_1/,9,3,7,4
1,,9,2014/03/03/gid_2014_03_03_minmlb_balmlb_1/,13,9,2,1
1,,6,2014/03/03/gid_2014_03_03_nynmlb_atlmlb_1/,9,6,2,0
0,,6,2014/03/03/gid_2014_03_03_phimlb_tbamlb_1/,7,1,6,0
0,,8,2014/03/03/gid_2014_03_03_sdnmlb_sfnmlb_1/,13,7,2,0
0,,8,2014/03/03/gid_2014_03_03_seamlb_cinmlb_1/,9,6,5,5
1,,11,2014/03/03/gid_2014_03_03_slnmlb_detmlb_1/,11,5,8,1
0,,14,2014/03/03/gid_2014_03_03_tormlb_minmlb_1/,7,2,12,2
3,,12,2014/03/03/gid_2014_03_03_wasmlb_nyamlb_1/,4,2,4,1
1,,10,2014/03/04/gid_2014_03_04_arimlb_sdnmlb_1/,15,8,6,0
0,,7,2014/03/04/gid_2014_03_04_balmlb_nyamlb_1/,8,3,2,0
0,Two out when winning run scored.,9,2014/03/04/gid_2014_03_04_chamlb_clemlb_1/,7,4,5,0
3,,15,2014/03/04/gid_2014_03_04_cinmlb_kcamlb_1/,7,5,9,0
1,,11,2014/03/04/gid_2014_03_04_houmlb_nynmlb_1/,7,2,6,2
2,None out when winning run scored.,9,2014/03/04/gid_2014_03_04_milmlb_oakmlb_1/,10,4,6,0
5,,7,2014/03/04/gid_2014_03_04_minmlb_miamlb_1/,4,1,3,1
2,,9,2014/03/04/gid_2014_03_04_oakmlb_chnmlb_1/,9,4,6,0
1,,7,2014/03/04/gid_2014_03_04_pitmlb_detmlb_1/,9,5,2,1
2,,5,2014/03/04/gid_2014_03_04_seamlb_lanmlb_1/,8,4,1,0
0,,8,2014/03/04/gid_2014_03_04_sfnmlb_colmlb_1/,13,3,2,1
0,,8,2014/03/04/gid_2014_03_04_tbamlb_bosmlb_1/,16,8,0,0
0,,10,2014/03/04/gid_2014_03_04_texmlb_anamlb_1/,7,4,7,1
0,,6,2014/03/04/gid_2014_03_04_tormlb_phimlb_1/,13,5,3,0
3,,10,2014/03/04/gid_2014_03_04_wasmlb_atlmlb_1/,10,4,8,1
0,,9,2014/03/05/gid_2014_03_05_anamlb_sfnmlb_1/,6,2,3,1
1,,5,2014/03/05/gid_2014_03_05_atlmlb_phimlb_1/,11,2,2,0
1,,9,2014/03/05/gid_2014_03_05_balmlb_minmlb_1/,12,11,5,1
0,,13,2014/03/05/gid_2014_03_05_bosmlb_slnmlb_1/,9,6,8,3
3,,4,2014/03/05/gid_2014_03_05_clemlb_seamlb_1/,11,8,5,2
1,,7,2014/03/05/gid_2014_03_05_colmlb_chnmlb_1/,11,7,5,5
1,,6,2014/03/05/gid_2014_03_05_colmlb_texmlb_1/,13,8,2,2
2,,3,2014/03/05/gid_2014_03_05_detmlb_houmlb_1/,6,3,0,1
2,,7,2014/03/05/gid_2014_03_05_kcamlb_arimlb_1/,12,6,5,0
2,,7,2014/03/05/gid_2014_03_05_lanmlb_cinmlb_1/,10,10,3,1
1,,9,2014/03/05/gid_2014_03_05_miamlb_nynmlb_1/,11,5,2,2
1,,9,2014/03/05/gid_2014_03_05_nyamlb_tbamlb_1/,11,4,5,0
0,,12,2014/03/05/gid_2014_03_05_nynmlb_wasmlb_1/,10,5,11,1
0,,9,2014/03/05/gid_2014_03_05_oakmlb_milmlb_1/,8,2,7,3
0,,6,2014/03/05/gid_2014_03_05_pitmlb_tormlb_1/,10,6,4,0
0,,5,2014/03/05/gid_2014_03_05_sdnmlb_chamlb_1/,11,8,0,0
0,,2,2014/03/06/gid_2014_03_06_bosmlb_miamlb_1/,7,0,0,0
1,,15,2014/03/06/gid_2014_03_06_chamlb_kcamlb_1/,16,6,6,0
0,,4,2014/03/06/gid_2014_03_06_chnmlb_clemlb_1/,9,0,1,0
1,,6,2014/03/06/gid_2014_03_06_cinmlb_sfnmlb_1/,5,2,3,1
0,,12,2014/03/06/gid_2014_03_06_colmlb_milmlb_1/,6,3,5,5
0,,11,2014/03/06/gid_2014_03_06_lanmlb_anamlb_1/,5,4,4,1
1,,6,2014/03/06/gid_2014_03_06_nyamlb_phimlb_1/,10,4,3,0
0,,0,2014/03/06/gid_2014_03_06_nynmlb_houmlb_1/,0,0,0,0
0,,12,2014/03/06/gid_2014_03_06_oakmlb_arimlb_1/,12,8,8,0
0,,0,2014/03/06/gid_2014_03_06_phimlb_detmlb_1/,0,0,0,0
1,,10,2014/03/06/gid_2014_03_06_seamlb_chamlb_1/,10,7,4,1
0,,0,2014/03/06/gid_2014_03_06_slnmlb_minmlb_1/,0,0,0,0
1,,10,2014/03/06/gid_2014_03_06_texmlb_sdnmlb_1/,10,8,4,1
0,Two out when winning run scored.,9,2014/03/06/gid_2014_03_06_wasmlb_atlmlb_1/,12,2,3,4
0,,11,2014/03/07/gid_2014_03_07_anamlb_colmlb_1/,9,2,7,1
0,,6,2014/03/07/gid_2014_03_07_arimlb_oakmlb_1/,5,0,2,1
0,,11,2014/03/07/gid_2014_03_07_atlmlb_bosmlb_1/,4,1,4,0
1,,7,2014/03/07/gid_2014_03_07_chamlb_cinmlb_1/,9,4,3,2
0,,10,2014/03/07/gid_2014_03_07_chnmlb_anamlb_1/,7,3,2,1
1,,13,2014/03/07/gid_2014_03_07_cinmlb_seamlb_1/,10,10,9,2
0,,4,2014/03/07/gid_2014_03_07_clemlb_chnmlb_1/,9,7,2,2
1,One out when winning run scored.,8,2014/03/07/gid_2014_03_07_detmlb_nyamlb_1/,7,2,3,0
1,,10,2014/03/07/gid_2014_03_07_houmlb_wasmlb_1/,9,5,8,2
1,,7,2014/03/07/gid_2014_03_07_miamlb_slnmlb_1/,10,7,3,0
2,,14,2014/03/07/gid_2014_03_07_minmlb_pitmlb_1/,12,6,5,1
1,,16,2014/03/07/gid_2014_03_07_phimlb_balmlb_1/,6,4,15,2
1,,3,2014/03/07/gid_2014_03_07_sdnmlb_milmlb_1/,9,6,2,0
