home_team_code,venue_id,home_wins,away_team_code,status_ind,home_id,game_id,away_wins,game_pk,date,home_sname,home_sport_code,away_id,away_sname,away_loss,home_loss,away_fname,home_fname,venue_name
atl,2504,0,hou,F,144,2014/02/28/gid_2014_02_28_houmlb_atlmlb_1/,1,396130,"February 28, 2014",Atlanta,mlb,117,Houston,0,3,Houston Astros,Atlanta Braves,Champion Stadium
tex,2603,1,kca,F,140,2014/02/28/gid_2014_02_28_kcamlb_texmlb_1/,1,396531,"February 28, 2014",Texas,mlb,118,Kansas City,1,1,Kansas City Royals,Texas Rangers,Surprise Stadium
sln,2520,0,mia,F,138,2014/02/28/gid_2014_02_28_miamlb_slnmlb_1/,1,396503,"February 28, 2014",St. Louis,mlb,146,Miami,0,1,Miami Marlins,St. Louis Cardinals,Roger Dean Stadium
sfn,2532,1,mil,F,137,2014/02/28/gid_2014_02_28_milmlb_sfnmlb_1/,1,396474,"February 28, 2014",San Francisco,mlb,158,Milwaukee,1,2,Milwaukee Brewers,San Francisco Giants,Scottsdale Stadium
bos,4309,0,min,F,111,2014/02/28/gid_2014_02_28_minmlb_bosmlb_1/,1,396167,"February 28, 2014",Boston,mlb,142,Minnesota,0,1,Minnesota Twins,Boston Red Sox,JetBlue Park
det,2511,2,nya,F,116,2014/02/28/gid_2014_02_28_nyamlb_detmlb_1/,1,396262,"February 28, 2014",Detroit,mlb,147,NY Yankees,2,2,New York Yankees,Detroit Tigers,Joker Marchant Stadium
tor,2536,3,pit,F,141,2014/02/28/gid_2014_02_28_pitmlb_tormlb_1/,2,396549,"February 28, 2014",Toronto,mlb,134,Pittsburgh,1,0,Pittsburgh Pirates,Toronto Blue Jays,Florida Auto Exchange Stadium
sdn,2530,0,sea,F,135,2014/02/28/gid_2014_02_28_seamlb_sdnmlb_1/,2,396456,"February 28, 2014",San Diego,mlb,136,Seattle,0,2,Seattle Mariners,San Diego Padres,Peoria Stadium
oak,2524,2,sfn,F,133,2014/02/28/gid_2014_02_28_sfnmlb_oakmlb_1/,1,396411,"February 28, 2014",Oakland,mlb,137,San Francisco,2,1,San Francisco Giants,Oakland Athletics,Phoenix Municipal Stadium
nyn,2856,0,was,F,121,2014/02/28/gid_2014_02_28_wasmlb_nynmlb_1/,1,396379,"February 28, 2014",NY Mets,mlb,120,Washington,0,1,Washington Nationals,New York Mets,Tradition Field
sea,2530,3,ana,FR,136,2014/03/01/gid_2014_03_01_anamlb_seamlb_1/,1,396489,"March 1, 2014",Seattle,mlb,108,LA Angels,1,0,Los Angeles Angels,Seattle Mariners,Peoria Stadium
was,2513,2,atl,F,120,2014/03/01/gid_2014_03_01_atlmlb_wasmlb_1/,0,396565,"March 1, 2014",Washington,mlb,144,Atlanta,4,0,Atlanta Braves,Washington Nationals,Space Coast Stadium
min,2862,2,bos,F,142,2014/03/01/gid_2014_03_01_bosmlb_minmlb_1/,0,396361,"March 1, 2014",Minnesota,mlb,111,Boston,2,0,Boston Red Sox,Minnesota Twins,Hammond Stadium
cin,3834,2,col,F,113,2014/03/01/gid_2014_03_01_colmlb_cinmlb_1/,1,396215,"March 1, 2014",Cincinnati,mlb,115,Colorado,1,2,Colorado Rockies,Cincinnati Reds,Goodyear Ballpark
det,2511,3,hou,F,116,2014/03/01/gid_2014_03_01_houmlb_detmlb_1/,1,396263,"March 1, 2014",Detroit,mlb,117,Houston,1,2,Houston Astros,Detroit Tigers,Joker Marchant Stadium
mil,2518,2,lan,F,158,2014/03/01/gid_2014_03_01_lanmlb_milmlb_1/,2,396346,"March 1, 2014",Milwaukee,mlb,119,LA Dodgers,2,2,Los Angeles Dodgers,Milwaukee Brewers,Maryvale Baseball Park
nyn,2856,0,mia,F,121,2014/03/01/gid_2014_03_01_miamlb_nynmlb_1/,3,396380,"March 1, 2014",NY Mets,mlb,146,Miami,0,2,Miami Marlins,New York Mets,Tradition Field
ari,4249,3,mil,FR,109,2014/03/01/gid_2014_03_01_milmlb_arimlb_1/,2,396116,"March 1, 2014",Arizona,mlb,158,Milwaukee,2,2,Milwaukee Brewers,Arizona Diamondbacks,Salt River Fields at Talking Stick
nya,2523,2,phi,F,147,2014/03/01/gid_2014_03_01_phimlb_nyamlb_1/,1,396395,"March 1, 2014",NY Yankees,mlb,143,Philadelphia,3,2,Philadelphia Phillies,New York Yankees,George M. Steinbrenner Field
kca,2603,2,sdn,FR,118,2014/03/01/gid_2014_03_01_sdnmlb_kcamlb_1/,0,396292,"March 1, 2014",Kansas City,mlb,135,San Diego,3,1,San Diego Padres,Kansas City Royals,Surprise Stadium
chn,4629,0,sfn,DR,112,2014/03/01/gid_2014_03_01_sfnmlb_chnmlb_1/,1,396183,"March 1, 2014",Chi Cubs,mlb,137,San Francisco,2,2,San Francisco Giants,Chicago Cubs,Cubs Park
mia,2520,3,sln,F,146,2014/03/01/gid_2014_03_01_slnmlb_miamlb_1/,0,396332,"March 1, 2014",Miami,mlb,138,St. Louis,2,0,St. Louis Cardinals,Miami Marlins,Roger Dean Stadium
pit,2526,2,tba,FT,134,2014/03/01/gid_2014_03_01_tbamlb_pitmlb_1/,0,396442,"March 1, 2014",Pittsburgh,mlb,139,Tampa Bay,1,1,Tampa Bay Rays,Pittsburgh Pirates,McKechnie Field
oak,2524,2,tex,FT,133,2014/03/01/gid_2014_03_01_texmlb_oakmlb_1/,1,396412,"March 1, 2014",Oakland,mlb,140,Texas,1,1,Texas Rangers,Oakland Athletics,Phoenix Municipal Stadium
bal,2508,2,tor,F,110,2014/03/01/gid_2014_03_01_tormlb_balmlb_1/,3,396150,"March 1, 2014",Baltimore,mlb,141,Toronto,1,0,Toronto Blue Jays,Baltimore Orioles,Ed Smith Stadium
sfn,2532,2,ari,F,137,2014/03/02/gid_2014_03_02_arimlb_sfnmlb_1/,3,396475,"March 2, 2014",San Francisco,mlb,109,Arizona,3,2,Arizona Diamondbacks,San Francisco Giants,Scottsdale Stadium
hou,2514,2,atl,F,117,2014/03/02/gid_2014_03_02_atlmlb_houmlb_1/,0,396278,"March 2, 2014",Houston,mlb,144,Atlanta,5,1,Atlanta Braves,Houston Astros,Osceola County Stadium
bos,4309,1,bal,F,111,2014/03/02/gid_2014_03_02_balmlb_bosmlb_1/,2,396168,"March 2, 2014",Boston,mlb,110,Baltimore,1,2,Baltimore Orioles,Boston Red Sox,JetBlue Park
tex,2603,1,cha,F,140,2014/03/02/gid_2014_03_02_chamlb_texmlb_1/,1,396532,"March 2, 2014",Texas,mlb,145,Chi White Sox,1,2,Chicago White Sox,Texas Rangers,Surprise Stadium
