gameID,gameDate,type,local_gamE_time,game_pk,game_time_et,gameday_sw,home_team_id,away_team_id,stadiumID
2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,2012/03/06,S,13:05,332139,"03:05 PM",Y,112,115,2507
2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,2012/03/06,S,13:05,332140,"01:05 PM",Y,146,116,2520
2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,2012/03/06,S,13:05,332141,"03:05 PM",Y,114,118,3834
2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,2012/03/06,S,13:05,332142,"01:05 PM",Y,139,142,2534
2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,2012/03/06,S,13:05,332143,"01:05 PM",Y,134,147,2526
2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,2012/03/06,S,13:05,332144,"01:05 PM",Y,117,121,2514
2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,2012/03/06,S,13:05,332145,"03:05 PM",Y,158,133,2518
2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,2012/03/06,S,13:05,332146,"01:05 PM",Y,141,143,2536
2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,2012/03/06,S,13:05,332147,"03:05 PM",E,118,135,2603
2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,2012/03/06,S,13:05,332148,"03:05 PM",Y,119,137,3809
2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,2012/03/06,S,13:10,332149,"01:10 PM",Y,121,138,2856
2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,2012/03/06,S,13:10,332150,"03:10 PM",Y,109,140,4249
2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,2012/03/06,E,19:10,335535,"07:10 PM",N,146,236,4169
2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,2012/03/06,S,13:05,332151,"01:05 PM",Y,144,120,2504
