inning,topBottom,bases,outs,hd_4,hd_3,hd_2,hd_1,hd_00,hu_1,hu_2,hu_3,hu_4,on_1b,on_2b,on_3b
2,Bottom,"1 _ 3",0,1.600,1.800,1.800,1.700,1.500,1.200,0.900,0.700,0.500,1,0,1
2,Bottom,"1 _ 3",1,1.500,1.800,1.900,1.900,1.800,1.600,1.300,1.000,0.700,1,0,1
2,Bottom,"1 _ 3",2,1.400,1.700,1.900,1.900,1.800,1.600,1.300,1.000,0.700,1,0,1
2,Bottom,"1 _ _",0,1.300,1.500,1.600,1.600,1.500,1.200,1.000,0.800,0.600,1,0,0
2,Bottom,"1 _ _",1,1.000,1.200,1.300,1.300,1.200,1.000,0.800,0.600,0.500,1,0,0
2,Bottom,"1 _ _",2,0.600,0.800,0.900,0.900,0.800,0.700,0.600,0.500,0.300,1,0,0
2,Bottom,"_ 2 3",0,1.500,1.600,1.600,1.500,1.300,1.100,0.900,0.700,0.500,0,1,1
2,Bottom,"_ 2 3",1,1.400,1.600,1.700,1.600,1.500,1.300,1.000,0.800,0.600,0,1,1
2,Bottom,"_ 2 3",2,1.600,1.900,2.100,2.100,2.000,1.700,1.400,1.100,0.800,0,1,1
2,Bottom,"_ 2 _",0,1.100,1.300,1.300,1.300,1.200,1.000,0.800,0.600,0.400,0,1,0
2,Bottom,"_ 2 _",1,1.000,1.200,1.300,1.300,1.200,1.100,0.900,0.700,0.500,0,1,0
2,Bottom,"_ 2 _",2,0.800,1.000,1.200,1.200,1.200,1.000,0.900,0.700,0.500,0,1,0
2,Bottom,"_ _ 3",0,1.000,1.200,1.200,1.200,1.000,0.900,0.700,0.500,0.400,0,0,1
2,Bottom,"_ _ 3",1,1.000,1.200,1.300,1.400,1.400,1.200,1.000,0.800,0.600,0,0,1
2,Bottom,"_ _ 3",2,1.000,1.200,1.300,1.400,1.400,1.200,1.000,0.800,0.600,0,0,1
2,Bottom,"_ _ _",0,0.800,0.900,1.000,1.000,0.900,0.800,0.600,0.500,0.400,0,0,0
2,Bottom,"_ _ _",1,0.500,0.600,0.700,0.700,0.700,0.600,0.500,0.400,0.300,0,0,0
2,Bottom,"_ _ _",2,0.300,0.400,0.400,0.500,0.400,0.400,0.300,0.200,0.200,0,0,0
2,Top,"1 2 3",0,0.800,1.100,1.400,1.700,2.000,2.300,2.400,2.300,2.100,1,1,1
2,Top,"1 2 3",1,1.100,1.500,1.800,2.200,2.500,2.700,2.700,2.600,2.300,1,1,1
2,Top,"1 2 3",2,1.300,1.700,2.200,2.600,2.900,3.000,2.900,2.600,2.200,1,1,1
2,Top,"1 2 _",0,0.800,1.100,1.400,1.600,1.900,2.000,2.000,1.900,1.700,1,1,0
2,Top,"1 2 _",1,0.900,1.200,1.500,1.800,2.000,2.100,2.000,1.800,1.600,1,1,0
2,Top,"1 2 _",2,0.800,1.000,1.300,1.500,1.700,1.700,1.600,1.400,1.200,1,1,0
2,Top,"1 _ 3",0,0.600,0.800,1.100,1.300,1.600,1.700,1.800,1.700,1.500,1,0,1
2,Top,"1 _ 3",1,0.900,1.100,1.400,1.600,1.800,1.800,1.800,1.600,1.400,1,0,1
2,Top,"1 _ 3",2,0.900,1.100,1.400,1.600,1.800,1.800,1.700,1.500,1.300,1,0,1
2,Top,"1 _ _",0,0.700,0.900,1.100,1.300,1.500,1.500,1.500,1.400,1.200,1,0,0
2,Top,"1 _ _",1,0.600,0.700,0.900,1.100,1.200,1.300,1.200,1.100,0.900,1,0,0
2,Top,"1 _ _",2,0.400,0.500,0.700,0.800,0.800,0.900,0.800,0.700,0.600,1,0,0
2,Top,"_ 2 3",0,0.600,0.800,1.000,1.200,1.400,1.500,1.600,1.500,1.400,0,1,1
2,Top,"_ 2 3",1,0.700,0.900,1.100,1.300,1.500,1.600,1.600,1.500,1.300,0,1,1
2,Top,"_ 2 3",2,1.000,1.200,1.500,1.800,2.000,2.100,2.000,1.700,1.400,0,1,1
2,Top,"_ 2 _",0,0.500,0.700,0.900,1.100,1.200,1.300,1.300,1.200,1.000,0,1,0
2,Top,"_ 2 _",1,0.600,0.800,1.000,1.100,1.200,1.300,1.200,1.100,0.900,0,1,0
2,Top,"_ 2 _",2,0.600,0.800,0.900,1.100,1.200,1.200,1.100,0.900,0.800,0,1,0
2,Top,"_ _ 3",0,0.400,0.600,0.800,0.900,1.100,1.100,1.200,1.100,0.900,0,0,1
2,Top,"_ _ 3",1,0.700,0.900,1.100,1.200,1.300,1.300,1.300,1.100,0.900,0,0,1
2,Top,"_ _ 3",2,0.700,0.900,1.100,1.300,1.400,1.400,1.200,1.100,0.900,0,0,1
2,Top,"_ _ _",0,0.400,0.600,0.700,0.800,0.900,1.000,0.900,0.800,0.700,0,0,0
2,Top,"_ _ _",1,0.300,0.400,0.500,0.600,0.700,0.700,0.600,0.600,0.500,0,0,0
2,Top,"_ _ _",2,0.200,0.300,0.300,0.400,0.400,0.400,0.400,0.300,0.300,0,0,0
3,Bottom,"1 2 3",0,2.400,2.600,2.600,2.400,2.000,1.600,1.200,0.800,0.600,1,1,1
3,Bottom,"1 2 3",1,2.600,2.900,3.100,2.900,2.600,2.100,1.600,1.200,0.800,1,1,1
3,Bottom,"1 2 3",2,2.500,3.000,3.300,3.400,3.100,2.500,2.000,1.500,1.000,1,1,1
3,Bottom,"1 2 _",0,1.900,2.100,2.300,2.200,1.900,1.600,1.200,0.900,0.600,1,1,0
3,Bottom,"1 2 _",1,1.800,2.100,2.300,2.300,2.100,1.700,1.300,1.000,0.700,1,1,0
3,Bottom,"1 2 _",2,1.400,1.700,1.900,2.000,1.800,1.500,1.200,0.900,0.600,1,1,0
3,Bottom,"1 _ 3",0,1.700,1.900,2.000,1.800,1.500,1.200,0.900,0.700,0.400,1,0,1
3,Bottom,"1 _ 3",1,1.600,1.900,2.000,2.100,1.900,1.600,1.300,0.900,0.700,1,0,1
3,Bottom,"1 _ 3",2,1.400,1.800,2.000,2.100,1.900,1.600,1.300,1.000,0.700,1,0,1
3,Bottom,"1 _ _",0,1.300,1.600,1.700,1.700,1.500,1.300,1.000,0.700,0.500,1,0,0
3,Bottom,"1 _ _",1,1.000,1.200,1.400,1.400,1.300,1.100,0.800,0.600,0.400,1,0,0
3,Bottom,"1 _ _",2,0.600,0.800,0.900,1.000,0.900,0.800,0.600,0.500,0.300,1,0,0
3,Bottom,"_ 2 3",0,1.600,1.700,1.800,1.600,1.400,1.100,0.900,0.600,0.400,0,1,1
3,Bottom,"_ 2 3",1,1.500,1.700,1.800,1.700,1.600,1.300,1.000,0.800,0.500,0,1,1
3,Bottom,"_ 2 3",2,1.600,2.000,2.300,2.300,2.200,1.800,1.400,1.000,0.700,0,1,1
3,Bottom,"_ 2 _",0,1.200,1.300,1.500,1.400,1.300,1.100,0.800,0.600,0.400,0,1,0
3,Bottom,"_ 2 _",1,1.000,1.300,1.400,1.400,1.300,1.100,0.900,0.600,0.500,0,1,0
3,Bottom,"_ 2 _",2,0.900,1.100,1.300,1.300,1.300,1.100,0.900,0.600,0.500,0,1,0
3,Bottom,"_ _ 3",0,1.100,1.200,1.300,1.200,1.100,0.900,0.700,0.500,0.300,0,0,1
3,Bottom,"_ _ 3",1,1.000,1.300,1.400,1.500,1.500,1.300,1.000,0.700,0.500,0,0,1
3,Bottom,"_ _ 3",2,1.000,1.200,1.400,1.600,1.500,1.300,1.000,0.800,0.500,0,0,1
3,Bottom,"_ _ _",0,0.800,0.900,1.000,1.100,1.000,0.800,0.600,0.500,0.300,0,0,0
3,Bottom,"_ _ _",1,0.500,0.700,0.700,0.800,0.700,0.600,0.500,0.400,0.300,0,0,0
3,Bottom,"_ _ _",2,0.300,0.400,0.500,0.500,0.500,0.400,0.300,0.200,0.200,0,0,0
3,Top,"1 2 3",0,0.700,1.000,1.400,1.800,2.100,2.400,2.600,2.500,2.300,1,1,1
3,Top,"1 2 3",1,1.100,1.400,1.900,2.300,2.700,2.900,2.900,2.700,2.400,1,1,1
3,Top,"1 2 3",2,1.300,1.700,2.200,2.700,3.100,3.300,3.100,2.700,2.300,1,1,1
3,Top,"1 2 _",0,0.800,1.000,1.400,1.700,2.000,2.200,2.100,2.000,1.700,1,1,0
3,Top,"1 2 _",1,0.900,1.200,1.500,1.800,2.100,2.200,2.100,1.900,1.600,1,1,0
3,Top,"1 2 _",2,0.800,1.000,1.300,1.600,1.800,1.900,1.800,1.500,1.200,1,1,0
3,Top,"1 _ 3",0,0.600,0.800,1.100,1.400,1.600,1.800,1.900,1.800,1.600,1,0,1
3,Top,"1 _ 3",1,0.800,1.100,1.400,1.700,1.900,2.000,1.900,1.700,1.500,1,0,1
3,Top,"1 _ 3",2,0.800,1.100,1.400,1.700,1.900,2.000,1.900,1.600,1.300,1,0,1
3,Top,"1 _ _",0,0.600,0.900,1.100,1.400,1.600,1.700,1.600,1.400,1.200,1,0,0
3,Top,"1 _ _",1,0.500,0.700,1.000,1.200,1.300,1.400,1.300,1.100,0.900,1,0,0
3,Top,"1 _ _",2,0.400,0.500,0.700,0.800,0.900,0.900,0.800,0.700,0.600,1,0,0
3,Top,"_ 2 3",0,0.500,0.800,1.000,1.200,1.500,1.600,1.700,1.600,1.400,0,1,1
3,Top,"_ 2 3",1,0.700,0.900,1.200,1.400,1.600,1.700,1.700,1.600,1.300,0,1,1
3,Top,"_ 2 3",2,0.900,1.200,1.600,1.900,2.200,2.200,2.100,1.800,1.500,0,1,1
3,Top,"_ 2 _",0,0.500,0.700,0.900,1.100,1.300,1.400,1.400,1.200,1.000,0,1,0
3,Top,"_ 2 _",1,0.600,0.800,1.000,1.200,1.300,1.400,1.300,1.100,0.900,0,1,0
3,Top,"_ 2 _",2,0.600,0.800,1.000,1.100,1.300,1.300,1.100,1.000,0.800,0,1,0
3,Top,"_ _ 3",0,0.400,0.600,0.800,1.000,1.100,1.200,1.200,1.100,1.000,0,0,1
3,Top,"_ _ 3",1,0.600,0.900,1.100,1.300,1.500,1.500,1.300,1.100,0.900,0,0,1
3,Top,"_ _ 3",2,0.700,0.900,1.100,1.300,1.500,1.500,1.300,1.100,0.900,0,0,1
3,Top,"_ _ _",0,0.400,0.600,0.700,0.900,1.000,1.000,1.000,0.900,0.700,0,0,0
3,Top,"_ _ _",1,0.300,0.400,0.500,0.600,0.700,0.700,0.700,0.600,0.500,0,0,0
3,Top,"_ _ _",2,0.200,0.300,0.400,0.400,0.500,0.500,0.400,0.400,0.300,0,0,0
4,Bottom,"1 2 3",0,2.600,2.800,2.800,2.600,2.100,1.600,1.100,0.800,0.500,1,1,1
4,Bottom,"1 2 3",1,2.700,3.200,3.300,3.200,2.800,2.200,1.600,1.100,0.700,1,1,1
4,Bottom,"1 2 3",2,2.600,3.200,3.600,3.700,3.300,2.600,1.900,1.400,0.900,1,1,1
4,Bottom,"1 2 _",0,2.000,2.300,2.500,2.400,2.000,1.600,1.100,0.800,0.500,1,1,0
4,Bottom,"1 2 _",1,1.800,2.200,2.500,2.500,2.200,1.800,1.300,0.900,0.600,1,1,0
4,Bottom,"1 2 _",2,1.400,1.800,2.100,2.200,2.000,1.600,1.200,0.800,0.600,1,1,0
4,Bottom,"1 _ 3",0,1.800,2.100,2.100,2.000,1.600,1.200,0.900,0.600,0.400,1,0,1
4,Bottom,"1 _ 3",1,1.700,2.000,2.200,2.300,2.100,1.700,1.300,0.900,0.600,1,0,1
4,Bottom,"1 _ 3",2,1.500,1.900,2.200,2.300,2.100,1.700,1.300,0.900,0.600,1,0,1
4,Bottom,"1 _ _",0,1.400,1.700,1.900,1.900,1.700,1.300,1.000,0.700,0.500,1,0,0
4,Bottom,"1 _ _",1,1.000,1.300,1.500,1.600,1.400,1.100,0.800,0.600,0.400,1,0,0
4,Bottom,"1 _ _",2,0.700,0.800,1.000,1.100,1.000,0.800,0.600,0.400,0.300,1,0,0
4,Bottom,"_ 2 3",0,1.700,1.900,1.900,1.800,1.500,1.100,0.800,0.600,0.400,0,1,1
4,Bottom,"_ 2 3",1,1.600,1.800,2.000,1.900,1.700,1.400,1.000,0.700,0.500,0,1,1
4,Bottom,"_ 2 3",2,1.700,2.100,2.500,2.600,2.300,1.900,1.400,1.000,0.700,0,1,1
4,Bottom,"_ 2 _",0,1.200,1.400,1.600,1.600,1.400,1.100,0.800,0.500,0.400,0,1,0
4,Bottom,"_ 2 _",1,1.100,1.300,1.500,1.600,1.400,1.200,0.900,0.600,0.400,0,1,0
4,Bottom,"_ 2 _",2,0.900,1.100,1.400,1.500,1.400,1.100,0.900,0.600,0.400,0,1,0
4,Bottom,"_ _ 3",0,1.100,1.300,1.400,1.400,1.100,0.900,0.600,0.400,0.300,0,0,1
4,Bottom,"_ _ 3",1,1.000,1.300,1.600,1.700,1.600,1.300,1.000,0.700,0.500,0,0,1
4,Bottom,"_ _ 3",2,1.000,1.300,1.600,1.700,1.600,1.300,1.000,0.700,0.500,0,0,1
4,Bottom,"_ _ _",0,0.800,1.000,1.100,1.200,1.100,0.900,0.600,0.400,0.300,0,0,0
4,Bottom,"_ _ _",1,0.500,0.700,0.800,0.900,0.800,0.600,0.500,0.300,0.200,0,0,0
4,Bottom,"_ _ _",2,0.300,0.400,0.500,0.600,0.500,0.400,0.300,0.200,0.200,0,0,0
4,Top,"1 2 3",0,0.700,1.000,1.400,1.800,2.200,2.600,2.800,2.700,2.400,1,1,1
4,Top,"1 2 3",1,1.000,1.400,1.900,2.400,2.900,3.100,3.200,2.900,2.400,1,1,1
4,Top,"1 2 3",2,1.200,1.700,2.300,2.900,3.400,3.600,3.400,2.900,2.300,1,1,1
4,Top,"1 2 _",0,0.700,1.000,1.400,1.800,2.100,2.300,2.300,2.100,1.800,1,1,0
4,Top,"1 2 _",1,0.800,1.100,1.500,1.900,2.300,2.400,2.300,2.000,1.600,1,1,0
4,Top,"1 2 _",2,0.700,1.000,1.400,1.700,2.000,2.100,1.900,1.600,1.200,1,1,0
4,Top,"1 _ 3",0,0.500,0.800,1.000,1.400,1.700,2.000,2.100,1.900,1.700,1,0,1
4,Top,"1 _ 3",1,0.800,1.100,1.400,1.800,2.100,2.200,2.100,1.800,1.500,1,0,1
4,Top,"1 _ 3",2,0.800,1.100,1.500,1.800,2.100,2.200,2.000,1.700,1.300,1,0,1
4,Top,"1 _ _",0,0.600,0.800,1.100,1.400,1.700,1.800,1.700,1.500,1.200,1,0,0
4,Top,"1 _ _",1,0.500,0.700,1.000,1.200,1.400,1.500,1.400,1.200,0.900,1,0,0
4,Top,"1 _ _",2,0.400,0.500,0.700,0.900,1.000,1.000,0.900,0.700,0.600,1,0,0
4,Top,"_ 2 3",0,0.500,0.700,1.000,1.300,1.600,1.800,1.800,1.700,1.500,0,1,1
4,Top,"_ 2 3",1,0.600,0.900,1.200,1.500,1.700,1.900,1.900,1.700,1.400,0,1,1
4,Top,"_ 2 3",2,0.900,1.200,1.600,2.000,2.400,2.500,2.300,1.900,1.500,0,1,1
4,Top,"_ 2 _",0,0.500,0.700,0.900,1.200,1.400,1.500,1.500,1.300,1.100,0,1,0
4,Top,"_ 2 _",1,0.500,0.700,1.000,1.200,1.500,1.500,1.400,1.200,0.900,0,1,0
4,Top,"_ 2 _",2,0.500,0.700,1.000,1.200,1.400,1.400,1.200,1.000,0.700,0,1,0
4,Top,"_ _ 3",0,0.400,0.600,0.800,1.000,1.200,1.300,1.300,1.200,1.000,0,0,1
4,Top,"_ _ 3",1,0.600,0.900,1.100,1.400,1.600,1.600,1.400,1.200,0.900,0,0,1
4,Top,"_ _ 3",2,0.600,0.900,1.200,1.400,1.600,1.600,1.400,1.100,0.800,0,0,1
4,Top,"_ _ _",0,0.400,0.500,0.700,0.900,1.100,1.100,1.100,0.900,0.700,0,0,0
4,Top,"_ _ _",1,0.300,0.400,0.500,0.700,0.800,0.800,0.700,0.600,0.500,0,0,0
4,Top,"_ _ _",2,0.200,0.300,0.400,0.500,0.500,0.500,0.500,0.400,0.300,0,0,0
5,Bottom,"1 2 3",0,2.800,3.100,3.100,2.800,2.200,1.500,1.000,0.700,0.400,1,1,1
5,Bottom,"1 2 3",1,2.900,3.400,3.700,3.500,3.000,2.200,1.500,1.000,0.600,1,1,1
5,Bottom,"1 2 3",2,2.700,3.400,4.000,4.200,3.600,2.700,1.800,1.200,0.800,1,1,1
5,Bottom,"1 2 _",0,2.100,2.500,2.700,2.600,2.200,1.600,1.100,0.700,0.400,1,1,0
5,Bottom,"1 2 _",1,1.900,2.400,2.800,2.800,2.400,1.800,1.200,0.800,0.500,1,1,0
5,Bottom,"1 2 _",2,1.400,1.900,2.300,2.500,2.200,1.600,1.100,0.800,0.500,1,1,0
5,Bottom,"1 _ 3",0,1.900,2.300,2.400,2.200,1.700,1.200,0.800,0.500,0.300,1,0,1
5,Bottom,"1 _ 3",1,1.700,2.200,2.500,2.600,2.300,1.700,1.200,0.800,0.500,1,0,1
5,Bottom,"1 _ 3",2,1.500,2.000,2.400,2.600,2.400,1.800,1.200,0.800,0.500,1,0,1
5,Bottom,"1 _ _",0,1.400,1.800,2.100,2.100,1.800,1.300,0.900,0.600,0.400,1,0,0
5,Bottom,"1 _ _",1,1.100,1.400,1.700,1.800,1.500,1.200,0.800,0.500,0.300,1,0,0
5,Bottom,"1 _ _",2,0.600,0.900,1.100,1.200,1.100,0.800,0.600,0.400,0.200,1,0,0
5,Bottom,"_ 2 3",0,1.800,2.100,2.100,2.000,1.600,1.100,0.800,0.500,0.300,0,1,1
5,Bottom,"_ 2 3",1,1.600,2.000,2.200,2.100,1.900,1.400,1.000,0.600,0.400,0,1,1
5,Bottom,"_ 2 3",2,1.700,2.300,2.800,3.000,2.600,1.900,1.300,0.900,0.600,0,1,1
5,Bottom,"_ 2 _",0,1.200,1.600,1.800,1.800,1.500,1.100,0.700,0.500,0.300,0,1,0
5,Bottom,"_ 2 _",1,1.100,1.400,1.700,1.800,1.600,1.200,0.800,0.500,0.300,0,1,0
5,Bottom,"_ 2 _",2,0.800,1.200,1.500,1.700,1.600,1.200,0.800,0.600,0.400,0,1,0
5,Bottom,"_ _ 3",0,1.200,1.500,1.600,1.500,1.200,0.900,0.600,0.400,0.200,0,0,1
5,Bottom,"_ _ 3",1,1.000,1.400,1.700,2.000,1.800,1.400,1.000,0.600,0.400,0,0,1
5,Bottom,"_ _ 3",2,0.900,1.300,1.700,2.000,1.900,1.400,1.000,0.700,0.400,0,0,1
5,Bottom,"_ _ _",0,0.800,1.100,1.300,1.300,1.200,0.900,0.600,0.400,0.300,0,0,0
5,Bottom,"_ _ _",1,0.500,0.700,0.900,1.000,0.900,0.700,0.500,0.300,0.200,0,0,0
5,Bottom,"_ _ _",2,0.300,0.400,0.600,0.600,0.600,0.400,0.300,0.200,0.100,0,0,0
5,Top,"1 2 3",0,0.600,0.900,1.300,1.800,2.400,2.800,3.000,2.900,2.500,1,1,1
5,Top,"1 2 3",1,0.900,1.300,1.900,2.500,3.100,3.500,3.500,3.100,2.500,1,1,1
5,Top,"1 2 3",2,1.100,1.600,2.200,3.000,3.700,4.000,3.700,3.000,2.300,1,1,1
5,Top,"1 2 _",0,0.600,0.900,1.300,1.800,2.300,2.600,2.500,2.300,1.800,1,1,0
5,Top,"1 2 _",1,0.700,1.100,1.500,2.000,2.500,2.700,2.500,2.100,1.600,1,1,0
5,Top,"1 2 _",2,0.700,1.000,1.400,1.800,2.200,2.300,2.100,1.600,1.200,1,1,0
5,Top,"1 _ 3",0,0.500,0.700,1.000,1.400,1.800,2.200,2.300,2.100,1.700,1,0,1
5,Top,"1 _ 3",1,0.700,1.000,1.400,1.900,2.300,2.400,2.300,1.900,1.500,1,0,1
5,Top,"1 _ 3",2,0.700,1.100,1.500,1.900,2.400,2.500,2.200,1.700,1.300,1,0,1
5,Top,"1 _ _",0,0.500,0.800,1.100,1.500,1.900,2.000,1.900,1.600,1.200,1,0,0
5,Top,"1 _ _",1,0.500,0.700,1.000,1.300,1.600,1.700,1.500,1.200,0.900,1,0,0
5,Top,"1 _ _",2,0.300,0.500,0.700,0.900,1.100,1.100,1.000,0.800,0.600,1,0,0
5,Top,"_ 2 3",0,0.400,0.700,1.000,1.300,1.700,1.900,2.000,1.900,1.600,0,1,1
5,Top,"_ 2 3",1,0.600,0.800,1.200,1.500,1.900,2.100,2.100,1.800,1.400,0,1,1
5,Top,"_ 2 3",2,0.800,1.100,1.600,2.100,2.600,2.800,2.500,2.000,1.400,0,1,1
5,Top,"_ 2 _",0,0.400,0.600,0.900,1.200,1.500,1.700,1.600,1.400,1.100,0,1,0
5,Top,"_ 2 _",1,0.500,0.700,1.000,1.300,1.600,1.700,1.500,1.200,0.900,0,1,0
5,Top,"_ 2 _",2,0.500,0.700,1.000,1.300,1.600,1.600,1.300,1.000,0.700,0,1,0
5,Top,"_ _ 3",0,0.300,0.500,0.700,1.000,1.300,1.500,1.500,1.300,1.100,0,0,1
5,Top,"_ _ 3",1,0.600,0.800,1.100,1.500,1.800,1.800,1.500,1.200,0.900,0,0,1
5,Top,"_ _ 3",2,0.600,0.800,1.200,1.500,1.800,1.800,1.500,1.100,0.800,0,0,1
5,Top,"_ _ _",0,0.400,0.500,0.700,1.000,1.200,1.300,1.100,0.900,0.700,0,0,0
5,Top,"_ _ _",1,0.300,0.400,0.600,0.700,0.900,0.900,0.800,0.600,0.500,0,0,0
5,Top,"_ _ _",2,0.200,0.300,0.400,0.500,0.600,0.600,0.500,0.400,0.300,0,0,0
