gameID,stadiumID,name,venue_w_chan_loc,location,sun_beginCivilTwilight,sunSet,sun_upperTransit,sunRise,sun_endCivilTwilight
2016/08/11/gid_2016_08_11_nyamlb_bosmlb_1/,3,"Fenway Park",USMA0046,"Boston, MA","8:21 p.m.","7:50 p.m.","12:49 p.m.","5:48 a.m.","5:17 a.m."
2016/08/11/gid_2016_08_11_sdnmlb_pitmlb_1/,31,"PNC Park",USPA1290,"Pittsburgh, PA","8:51 p.m.","8:22 p.m.","1:25 p.m.","6:27 a.m.","5:58 a.m."
2016/08/11/gid_2016_08_11_slnmlb_chnmlb_1/,17,"Wrigley Field",USIL0225,"Chicago, IL","8:26 p.m.","7:56 p.m.","12:56 p.m.","5:55 a.m.","5:25 a.m."
2016/08/12/gid_2016_08_12_anamlb_clemlb_1/,5,"Progressive Field",USOH0195,"Cleveland, OH","8:59 p.m.","8:29 p.m.","1:32 p.m.","6:33 a.m.","6:03 a.m."
2016/08/12/gid_2016_08_12_arimlb_bosmlb_1/,3,"Fenway Park",USMA0046,"Boston, MA","8:19 p.m.","7:49 p.m.","12:49 p.m.","5:49 a.m.","5:18 a.m."
2016/08/12/gid_2016_08_12_atlmlb_wasmlb_1/,3309,"Nationals Park",USDC0001,"Washington, DC","8:35 p.m.","8:06 p.m.","1:13 p.m.","6:19 a.m.","5:51 a.m."
2016/08/12/gid_2016_08_12_balmlb_sfnmlb_1/,2395,"AT&T Park",USCA0987,"San Francisco, CA","8:34 p.m.","8:05 p.m.","1:15 p.m.","6:23 a.m.","5:55 a.m."
2016/08/12/gid_2016_08_12_chamlb_miamlb_1/,4169,"Marlins Park",USFL0316,"Miami, FL","8:23 p.m.","7:58 p.m.","1:26 p.m.","6:53 a.m.","6:29 a.m."
2016/08/12/gid_2016_08_12_cinmlb_milmlb_1/,32,"Miller Park",USWI0455,"Milwaukee, WI","8:29 p.m.","7:58 p.m.","12:57 p.m.","5:55 a.m.","5:24 a.m."
2016/08/12/gid_2016_08_12_colmlb_phimlb_1/,2681,"Citizens Bank Park",USPA1276,"Philadelphia, PA","8:30 p.m.","8:01 p.m.","1:06 p.m.","6:10 a.m.","5:41 a.m."
2016/08/12/gid_2016_08_12_detmlb_texmlb_1/,13,"Globe Life Park in Arlington",USTX0045,"Arlington, TX","8:42 p.m.","8:16 p.m.","1:33 p.m.","6:50 a.m.","6:24 a.m."
2016/08/12/gid_2016_08_12_houmlb_tormlb_1/,14,"Rogers Centre",CAXX0504,"Toronto, Canada",,,,,
2016/08/12/gid_2016_08_12_kcamlb_minmlb_1/,3312,"Target Field",USMN0503,"Minneapolis, MN","8:55 p.m.","8:23 p.m.","1:18 p.m.","6:12 a.m.","5:40 a.m."
2016/08/12/gid_2016_08_12_pitmlb_lanmlb_1/,22,"Dodger Stadium",USCA0638,"Los Angeles, CA","8:10 p.m.","7:43 p.m.","12:58 p.m.","6:13 a.m.","5:47 a.m."
2016/08/12/gid_2016_08_12_sdnmlb_nynmlb_1/,3289,"Citi Field",USNY0504,"Flushing, NY","8:27 p.m.","7:57 p.m.","1:01 p.m.","6:04 a.m.","5:34 a.m."
2016/08/12/gid_2016_08_12_seamlb_oakmlb_1/,10,"Oakland Coliseum",USCA0791,"Oakland, CA","8:33 p.m.","8:05 p.m.","1:14 p.m.","6:22 a.m.","5:54 a.m."
2016/08/12/gid_2016_08_12_slnmlb_chnmlb_1/,17,"Wrigley Field",USIL0225,"Chicago, IL","8:24 p.m.","7:54 p.m.","12:56 p.m.","5:56 a.m.","5:26 a.m."
2016/08/12/gid_2016_08_12_tbamlb_nyamlb_1/,3313,"Yankee Stadium",USNY0172,"Bronx, NY","8:27 p.m.","7:57 p.m.","1:01 p.m.","6:03 a.m.","5:33 a.m."
2016/08/13/gid_2016_08_13_anamlb_clemlb_1/,5,"Progressive Field",USOH0195,"Cleveland, OH","8:58 p.m.","8:28 p.m.","1:31 p.m.","6:34 a.m.","6:04 a.m."
2016/08/13/gid_2016_08_13_arimlb_bosmlb_1/,3,"Fenway Park",USMA0046,"Boston, MA","8:18 p.m.","7:47 p.m.","12:49 p.m.","5:50 a.m.","5:20 a.m."
2016/08/13/gid_2016_08_13_atlmlb_wasmlb_1/,3309,"Nationals Park",USDC0001,"Washington, DC","8:33 p.m.","8:05 p.m.","1:13 p.m.","6:20 a.m.","5:52 a.m."
2016/08/13/gid_2016_08_13_balmlb_sfnmlb_1/,2395,"AT&T Park",USCA0987,"San Francisco, CA","8:32 p.m.","8:04 p.m.","1:14 p.m.","6:24 a.m.","5:56 a.m."
2016/08/13/gid_2016_08_13_chamlb_miamlb_1/,4169,"Marlins Park",USFL0316,"Miami, FL","8:22 p.m.","7:58 p.m.","1:26 p.m.","6:53 a.m.","6:29 a.m."
2016/08/13/gid_2016_08_13_cinmlb_milmlb_1/,32,"Miller Park",USWI0455,"Milwaukee, WI","8:27 p.m.","7:56 p.m.","12:57 p.m.","5:56 a.m.","5:25 a.m."
2016/08/13/gid_2016_08_13_colmlb_phimlb_1/,2681,"Citizens Bank Park",USPA1276,"Philadelphia, PA","8:28 p.m.","7:59 p.m.","1:05 p.m.","6:11 a.m.","5:42 a.m."
2016/08/13/gid_2016_08_13_detmlb_texmlb_1/,13,"Globe Life Park in Arlington",USTX0045,"Arlington, TX","8:41 p.m.","8:15 p.m.","1:33 p.m.","6:51 a.m.","6:25 a.m."
2016/08/13/gid_2016_08_13_houmlb_tormlb_1/,14,"Rogers Centre",CAXX0504,"Toronto, Canada",,,,,
2016/08/13/gid_2016_08_13_kcamlb_minmlb_1/,3312,"Target Field",USMN0503,"Minneapolis, MN","8:54 p.m.","8:22 p.m.","1:18 p.m.","6:13 a.m.","5:41 a.m."
2016/08/13/gid_2016_08_13_pitmlb_lanmlb_1/,22,"Dodger Stadium",USCA0638,"Los Angeles, CA","8:08 p.m.","7:42 p.m.","12:58 p.m.","6:14 a.m.","5:47 a.m."
2016/08/13/gid_2016_08_13_sdnmlb_nynmlb_1/,3289,"Citi Field",USNY0504,"Flushing, NY","8:25 p.m.","7:56 p.m.","1:01 p.m.","6:05 a.m.","5:35 a.m."
2016/08/13/gid_2016_08_13_seamlb_oakmlb_1/,10,"Oakland Coliseum",USCA0791,"Oakland, CA","8:31 p.m.","8:03 p.m.","1:14 p.m.","6:23 a.m.","5:55 a.m."
