gameID,stadiumID,name,venue_w_chan_loc,location,sun_beginCivilTwilight,sunSet,sun_upperTransit,sunRise,sun_endCivilTwilight
2012/02/29/gid_2012_02_29_fanbbc_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL","6:55 p.m. S","6:31 p.m. S","12:44 p.m. S","6:56 a.m. S","6:33 a.m. S"
2012/03/02/gid_2012_03_02_flsbbc_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL","6:53 p.m. S","6:29 p.m. S","12:40 p.m. S","6:51 a.m. S","6:27 a.m. S"
2012/03/02/gid_2012_03_02_guhbbc_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL","6:47 p.m. S","6:24 p.m. S","12:35 p.m. S","6:46 a.m. S","6:22 a.m. S"
2012/03/02/gid_2012_03_02_seamlb_oakmlb_1/,2524,"Phoenix Municipal Stadium",USAZ0166,"Phoenix, AZ","6:51 p.m. S","6:26 p.m. S","12:40 p.m. S","6:55 a.m. S","6:30 a.m. S"
2012/03/02/gid_2012_03_02_usfbbc_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL","6:55 p.m. S","6:31 p.m. S","12:42 p.m. S","6:53 a.m. S","6:29 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_colmlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_colmlb_1_bak/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_arimlb_sfnmlb_1/,2532,"Scottsdale Stadium",USAZ0207,"Scottsdale, AZ","6:51 p.m. S","6:27 p.m. S","12:39 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/03/gid_2012_03_03_bocbbc_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:53 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:26 a.m. S"
2012/03/03/gid_2012_03_03_clemlb_cinmlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:53 p.m. S","6:28 p.m. S","12:41 p.m. S","6:55 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_detmlb_atlmlb_1/,2504,"Champion Stadium",USFL0372,"Lake Buena Vista, FL","6:50 p.m. S","6:27 p.m. S","12:37 p.m. S","6:47 a.m. S","6:24 a.m. S"
2012/03/03/gid_2012_03_03_neubbc_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:53 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:26 a.m. S"
2012/03/03/gid_2012_03_03_nyamlb_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL","6:57 p.m. S","6:33 p.m. S","12:43 p.m. S","6:53 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_oakmlb_seamlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ","6:53 p.m. S","6:28 p.m. S","12:41 p.m. S","6:54 a.m. S","6:29 a.m. S"
2012/03/03/gid_2012_03_03_pitmlb_tormlb_1/,2536,"Florida Auto Exchange Stadium",USFL0119,"Dunedin, FL","6:57 p.m. S","6:33 p.m. S","12:43 p.m. S","6:53 a.m. S","6:30 a.m. S"
2012/03/03/gid_2012_03_03_tbamlb_minmlb_1/,2519,"Lee County Sports Complex",USFL0152,"Lee County, FL","6:58 p.m. S","6:34 p.m. S","12:45 p.m. S","6:57 a.m. S","6:33 a.m. S"
2012/03/03/gid_2012_03_03_wasmlb_houmlb_1/,2514,"Osceola County Stadium",USFL0248,"Kissimmee, FL","6:51 p.m. S","6:27 p.m. S","12:37 p.m. S","6:48 a.m. S","6:24 a.m. S"
2012/03/04/gid_2012_03_04_atlmlb_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL","6:54 p.m. S","6:30 p.m. S","12:39 p.m. S","6:49 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_cinmlb_clemlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:54 p.m. S","6:29 p.m. S","12:41 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/04/gid_2012_03_04_houmlb_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL","6:49 p.m. S","6:25 p.m. S","12:34 p.m. S","6:44 a.m. S","6:20 a.m. S"
2012/03/04/gid_2012_03_04_kcamlb_texmlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ","6:54 p.m. S","6:29 p.m. S","12:41 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/04/gid_2012_03_04_minmlb_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:54 p.m. S","6:31 p.m. S","12:39 p.m. S","6:48 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_minmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL","6:54 p.m. S","6:31 p.m. S","12:40 p.m. S","6:49 a.m. S","6:25 a.m. S"
2012/03/04/gid_2012_03_04_oakmlb_chnmlb_1/,2507,"HoHoKam Park",USAZ0136,"Mesa, AZ","6:52 p.m. S","6:27 p.m. S","12:39 p.m. S","6:51 a.m. S","6:26 a.m. S"
2012/03/04/gid_2012_03_04_phimlb_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL","6:56 p.m. S","6:32 p.m. S","12:41 p.m. S","6:51 a.m. S","6:27 a.m. S"
2012/03/04/gid_2012_03_04_sdnmlb_seamlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ","6:53 p.m. S","6:29 p.m. S","12:40 p.m. S","6:53 a.m. S","6:28 a.m. S"
2012/03/04/gid_2012_03_04_sfnmlb_arimlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:52 p.m. S","6:27 p.m. S","12:39 p.m. S","6:52 a.m. S","6:27 a.m. S"
2012/03/04/gid_2012_03_04_sfnmlb_milmlb_1/,2518,"Maryvale Baseball Park",USAZ0166,"Phoenix, AZ","6:53 p.m. S","6:28 p.m. S","12:40 p.m. S","6:52 a.m. S","6:27 a.m. S"
2012/03/04/gid_2012_03_04_tormlb_pitmlb_1/,2526,"McKechnie Field",USFL0047,"Bradenton, FL","6:56 p.m. S","6:33 p.m. S","12:42 p.m. S","6:51 a.m. S","6:28 a.m. S"
2012/03/05/gid_2012_03_05_anamlb_oakmlb_1/,2524,"Phoenix Municipal Stadium",USAZ0166,"Phoenix, AZ","6:54 p.m. S","6:29 p.m. S","12:40 p.m. S","6:51 a.m. S","6:26 a.m. S"
2012/03/05/gid_2012_03_05_arimlb_colmlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:53 p.m. S","6:28 p.m. S","12:39 p.m. S","6:50 a.m. S","6:25 a.m. S"
2012/03/05/gid_2012_03_05_atlmlb_houmlb_1/,2514,"Osceola County Stadium",USFL0248,"Kissimmee, FL","6:52 p.m. S","6:29 p.m. S","12:37 p.m. S","6:46 a.m. S","6:22 a.m. S"
2012/03/05/gid_2012_03_05_balmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL","6:55 p.m. S","6:32 p.m. S","12:39 p.m. S","6:48 a.m. S","6:24 a.m. S"
2012/03/05/gid_2012_03_05_bosmlb_minmlb_1/,2519,"Lee County Sports Complex",USFL0152,"Lee County, FL","6:59 p.m. S","6:35 p.m. S","12:45 p.m. S","6:54 a.m. S","6:30 a.m. S"
2012/03/05/gid_2012_03_05_clemlb_cinmlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:55 p.m. S","6:30 p.m. S","12:41 p.m. S","6:52 a.m. S","6:27 a.m. S"
2012/03/05/gid_2012_03_05_lanmlb_chamlb_1/,3809,"Camelback Ranch",USAZ0083,"Glendale, AZ","6:54 p.m. S","6:29 p.m. S","12:40 p.m. S","6:51 a.m. S","6:27 a.m. S"
2012/03/05/gid_2012_03_05_miamlb_slnmlb_1/,2520,"Roger Dean Stadium",USFL0237,"Jupiter, FL","6:47 p.m. S","6:24 p.m. S","12:32 p.m. S","6:40 a.m. S","6:17 a.m. S"
2012/03/05/gid_2012_03_05_milmlb_sfnmlb_1/,2532,"Scottsdale Stadium",USAZ0207,"Scottsdale, AZ","6:53 p.m. S","6:28 p.m. S","12:39 p.m. S","6:50 a.m. S","6:25 a.m. S"
2012/03/05/gid_2012_03_05_nyamlb_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL","6:58 p.m. S","6:34 p.m. S","12:42 p.m. S","6:51 a.m. S","6:28 a.m. S"
2012/03/05/gid_2012_03_05_oakmlb_chnmlb_1/,2507,"HoHoKam Park",USAZ0136,"Mesa, AZ","6:53 p.m. S","6:28 p.m. S","12:39 p.m. S","6:50 a.m. S","6:25 a.m. S"
2012/03/05/gid_2012_03_05_pitmlb_balmlb_1/,2508,"Ed Smith Stadium",USFL0446,"Sarasota, FL","6:57 p.m. S","6:34 p.m. S","12:41 p.m. S","6:50 a.m. S","6:26 a.m. S"
2012/03/05/gid_2012_03_05_seamlb_sdnmlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ","6:54 p.m. S","6:29 p.m. S","12:40 p.m. S","6:52 a.m. S","6:27 a.m. S"
2012/03/05/gid_2012_03_05_texmlb_kcamlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ","6:55 p.m. S","6:30 p.m. S","12:41 p.m. S","6:52 a.m. S","6:27 a.m. S"
2012/03/05/gid_2012_03_05_tormlb_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL","6:54 p.m. S","6:31 p.m. S","12:39 p.m. S","6:48 a.m. S","6:24 a.m. S"
2012/03/05/gid_2012_03_05_wasmlb_nynmlb_1/,2856,"Digital Domain Park",USFL0419,"Port St. Lucie, FL","6:48 p.m. S","6:25 p.m. S","12:33 p.m. S","6:41 a.m. S","6:17 a.m. S"
2012/03/06/gid_2012_03_06_balmlb_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL","6:55 p.m. S","6:32 p.m. S","12:39 p.m. S","6:46 a.m. S","6:23 a.m. S"
2012/03/06/gid_2012_03_06_chamlb_anamlb_1/,2500,"Tempe Diablo Stadium",USAZ0233,"Tempe, AZ","6:54 p.m. S","6:29 p.m. S","12:39 p.m. S","6:49 a.m. S","6:24 a.m. S"
2012/03/06/gid_2012_03_06_cinmlb_seamlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ","6:55 p.m. S","6:30 p.m. S","12:40 p.m. S","6:50 a.m. S","6:26 a.m. S"
2012/03/06/gid_2012_03_06_colmlb_chnmlb_1/,2507,"HoHoKam Park",USAZ0136,"Mesa, AZ","6:53 p.m. S","6:29 p.m. S","12:38 p.m. S","6:49 a.m. S","6:24 a.m. S"
2012/03/06/gid_2012_03_06_detmlb_miamlb_1/,2520,"Roger Dean Stadium",USFL0237,"Jupiter, FL","6:48 p.m. S","6:25 p.m. S","12:31 p.m. S","6:39 a.m. S","6:16 a.m. S"
2012/03/06/gid_2012_03_06_kcamlb_clemlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ","6:56 p.m. S","6:31 p.m. S","12:40 p.m. S","6:51 a.m. S","6:26 a.m. S"
2012/03/06/gid_2012_03_06_minmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL","6:56 p.m. S","6:32 p.m. S","12:39 p.m. S","6:47 a.m. S","6:23 a.m. S"
2012/03/06/gid_2012_03_06_nyamlb_pitmlb_1/,2526,"McKechnie Field",USFL0047,"Bradenton, FL","6:58 p.m. S","6:34 p.m. S","12:41 p.m. S","6:49 a.m. S","6:26 a.m. S"
2012/03/06/gid_2012_03_06_nynmlb_houmlb_1/,2514,"Osceola County Stadium",USFL0248,"Kissimmee, FL","6:53 p.m. S","6:29 p.m. S","12:37 p.m. S","6:45 a.m. S","6:21 a.m. S"
2012/03/06/gid_2012_03_06_oakmlb_milmlb_1/,2518,"Maryvale Baseball Park",USAZ0166,"Phoenix, AZ","6:54 p.m. S","6:30 p.m. S","12:39 p.m. S","6:50 a.m. S","6:25 a.m. S"
2012/03/06/gid_2012_03_06_phimlb_tormlb_1/,2536,"Florida Auto Exchange Stadium",USFL0119,"Dunedin, FL","6:58 p.m. S","6:35 p.m. S","12:42 p.m. S","6:50 a.m. S","6:27 a.m. S"
2012/03/06/gid_2012_03_06_sdnmlb_kcamlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ","6:55 p.m. S","6:31 p.m. S","12:40 p.m. S","6:51 a.m. S","6:26 a.m. S"
2012/03/06/gid_2012_03_06_sfnmlb_lanmlb_1/,3809,"Camelback Ranch",USAZ0083,"Glendale, AZ","6:55 p.m. S","6:30 p.m. S","12:40 p.m. S","6:50 a.m. S","6:25 a.m. S"
2012/03/06/gid_2012_03_06_slnmlb_nynmlb_1/,2856,"Digital Domain Park",USFL0419,"Port St. Lucie, FL","6:49 p.m. S","6:25 p.m. S","12:32 p.m. S","6:40 a.m. S","6:16 a.m. S"
2012/03/06/gid_2012_03_06_texmlb_arimlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ","6:54 p.m. S","6:29 p.m. S","12:39 p.m. S","6:49 a.m. S","6:24 a.m. S"
2012/03/06/gid_2012_03_06_umibbc_miamlb_1/,4169,"Marlins Park",USFL0316,"Miami, FL","6:49 p.m. S","6:26 p.m. S","12:32 p.m. S","6:39 a.m. S","6:16 a.m. S"
2012/03/06/gid_2012_03_06_wasmlb_atlmlb_1/,2504,"Champion Stadium",USFL0372,"Lake Buena Vista, FL","6:52 p.m. S","6:28 p.m. S","12:36 p.m. S","6:44 a.m. S","6:21 a.m. S"
2012/03/07/gid_2012_03_07_atlmlb_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_bosmlb_tormlb_1/,2536,"Florida Auto Exchange Stadium",USFL0119,"Dunedin, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_chnmlb_kcamlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_clemlb_arimlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_colmlb_sfnmlb_1/,2532,"Scottsdale Stadium",USAZ0207,"Scottsdale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_fiubbc_miamlb_1/,4169,"Marlins Park",USFL0316,"Miami, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_houmlb_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_lanmlb_oakmlb_1/,2524,"Phoenix Municipal Stadium",USAZ0166,"Phoenix, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_milmlb_chamlb_1/,3809,"Camelback Ranch",USAZ0083,"Glendale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_minmlb_balmlb_1/,2508,"Ed Smith Stadium",USFL0446,"Sarasota, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_nynmlb_miamlb_1/,2520,"Roger Dean Stadium",USFL0237,"Jupiter, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_sdnmlb_cinmlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_seamlb_anamlb_1/,2500,"Tempe Diablo Stadium",USAZ0233,"Tempe, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_slnmlb_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_tbamlb_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_texmlb_sdnmlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/07/gid_2012_03_07_tormlb_pitmlb_1/,2526,"McKechnie Field",USFL0047,"Bradenton, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_anamlb_clemlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_atlmlb_balmlb_1/,2508,"Ed Smith Stadium",USFL0446,"Sarasota, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_bosmlb_slnmlb_1/,2520,"Roger Dean Stadium",USFL0237,"Jupiter, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_chamlb_texmlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_cinmlb_milmlb_1/,2518,"Maryvale Baseball Park",USAZ0166,"Phoenix, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_detmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_houmlb_wasmlb_1/,2513,"Space Coast Stadium",USFL0579,"Viera, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_kcamlb_colmlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_miamlb_nynmlb_1/,2856,"Digital Domain Park",USFL0419,"Port St. Lucie, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_nyamlb_tormlb_1/,2536,"Florida Auto Exchange Stadium",USFL0119,"Dunedin, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_oakmlb_lanmlb_1/,3809,"Camelback Ranch",USAZ0083,"Glendale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_pitmlb_phimlb_1/,2700,"Bright House Field",USFL0084,"Clearwater, FL",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_seamlb_chnmlb_1/,2507,"HoHoKam Park",USAZ0136,"Mesa, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_sfnmlb_sdnmlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/08/gid_2012_03_08_tbamlb_minmlb_1/,2519,"Lee County Sports Complex",USFL0152,"Lee County, FL",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_arimlb_seamlb_1/,2530,"Peoria Stadium",USAZ0162,"Peoria, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_atlmlb_nyamlb_1/,2523,"George M. Steinbrenner Field",USFL0481,"Tampa, FL",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_balmlb_tbamlb_1/,2534,"Charlotte Sports Park",USFL0415,"Port Charlotte, FL",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_chnmlb_chamlb_1/,3809,"Camelback Ranch",USAZ0083,"Glendale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_cinmlb_sfnmlb_1/,2532,"Scottsdale Stadium",USAZ0207,"Scottsdale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_clemlb_milmlb_1/,2518,"Maryvale Baseball Park",USAZ0166,"Phoenix, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_kcamlb_cinmlb_1/,3834,"Goodyear Ballpark",USAZ0087,"Goodyear, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_lanmlb_texmlb_1/,2603,"Surprise Stadium",USAZ0229,"Surprise, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_nynmlb_atlmlb_1/,2504,"Champion Stadium",USFL0372,"Lake Buena Vista, FL",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_oakmlb_colmlb_1/,4249,"Salt River Fields at Talking Stick",USAZ0207,"Scottsdale, AZ",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_phimlb_detmlb_1/,2511,"Joker Marchant Stadium",USFL0267,"Lakeland, FL",N/A,N/A,N/A,N/A,N/A
2012/03/09/gid_2012_03_09_pitmlb_bosmlb_1/,4309,"JetBlue Park",USFL0152,"Ft. Myers, FL",N/A,N/A,N/A,N/A,N/A
