pitchType,pitchDesc
CH,Changeup
CU,Curveball
EP,Eephus
FA,Fastball
FC,Cutter
FF,"Four-Seam Fastball"
FO,Forkball
FS,Splitter
FT,"Two-Seam Fastball"
KC,Knuckle-Curve
KN,Knuckleball
SC,Screwball
SI,Sinker
SL,Slider
